agentId,agentWallet,score,units
24291,0x3f295Cb5290F54C2DFE7C5aC1586d86e9833731E,49.53,10
24294,0xF9893E206c26eB6126851625eFc3D2D6A4308F9c,49.53,10
24060,0x59aC0c01F21725c4b47Ab8Eb6f744a95206C059f,49.46,10
24067,0xa718d1848456839b1dc3deb94c44347bA10355Ae,49.42,10
24063,0x7AC112F63BccbdB779F636eFC6fE1Da32F7a5522,49.34,10
24065,0x5dCaE2CB69296dAf1Ac15a4DfA93Ffa2816152ee,49.34,10
24068,0xB9Fa90155079F1D3C188D9eB411141b655A9C410,49.34,10
24073,0x480d21dcF999203989a6176Af73D8776C740b4B9,49.34,10
24076,0x2EF69FA6ca591775672002E74Bcd09FF6b438C7B,49.34,10
24077,0x57E5E61075b00c1fe980EaA8DdE45839f7A182CF,49.34,10
24079,0x6e891560bD85CA24d8FA37b7cb58228C29aC879e,49.34,10
24081,0x41103f2285236d310d7CF48C5E6f638Ca5F86CCd,49.34,10
24091,0x90521328463dB3309A74D5629766A5Bb693aF747,49.34,10
24098,0xb2931e69c6352C0822C0F6C04398E76168a02E99,49.34,10
24099,0x14125756473F61f3BF3cF3513cC50E7D166bC59e,49.34,10
24104,0x27c0345689a30f06864C2949499f25CCb1B177BD,49.34,10
24105,0x2424072bd512dFD395d8Bc864E4f300Db3894C66,49.34,10
24109,0xa10b0629B4d34EAA329B7EC5466CB7137906e13E,49.34,10
24111,0x9e2E2F12F59263FD8b402eb65f1F09Ac3369a9fE,49.34,10
24113,0x9335FA6E2455070eF9A2de3f44A314588541B0dd,49.34,10
24114,0x5e596494D1DAb3769692f73b194D443509D51041,49.34,10
24118,0xB254e36d393117f767b8655F99378C486FA6958b,49.34,10
24119,0x4a36d62De12620A6086953d0269624dC13C1f82B,49.34,10
24121,0x411dd4714c5D6d8a460cB0E02f1ed4D2E4167c56,49.34,10
24129,0x6597084d0262B7Cf060A269f1A8FcCdA5975F729,49.34,10
19232,0x9f080983C678c6639f9A4dE8f1feACE2B2A1a54C,49.21,30
22278,0x0c2CC6917DD9c935E211C713DEB535477d7b8c14,48.82,10
22162,0x25aa2DeCC3E71943C1F5fE973767dda486E55Ac9,47.05,10
22236,0x2ba3779C848FF85B375a3A289211AD17b3119dc0,47.05,10
24568,0x1007B2aAb8188b86c18800B8d6734CCb22c0Bb99,46.03,10
22184,0xa8bf8856d34dc4552C45920a2F0ac202E1f48bb8,45.4,10
22215,0xdb3b58C2043f45cCcB7F8B0a2D4446f412a4DAe5,45.4,10
22243,0x78f13B0569Fc017a23b41BB2E350b3895986FE7C,45.4,10
22289,0x7456aDF48e06CD843D7E46dd29d0f9fbb9d542A0,45.4,10
26475,0xEFcc9EA435bb7c6637A45eB5321AAF8D1390b188,45.38,10
26316,0x4eefF1559b0581A68ffF4d53FB46ab3064d74009,45.34,10
26476,0x28FcF191cbB68C8718acDD4660728Da9fA9cD3f6,45.34,10
26478,0x4FD31b8D81805d3F7660bBF8c7bc1dB238888596,45.34,10
26556,0xbdf9f59dC7d657c24aC28dB5478fcBC2D93136FC,45.34,10
24662,0x83525b2783FB2Dccaf7ae5B2551FBD995dd27309,45.25,20
21587,0x962Fa344BBbf9276d01700EB7d7588031473F44d,45.16,10
21609,0x83525b2783FB2Dccaf7ae5B2551FBD995dd27309,45.16,20
